Name,Analytic Robustness Score,Event Robustness Score,Filter Score,Final Score,Notes,Permalink
Turla Group Lateral Movement ,1,K,N/a,,This is looking for basic strings and enviroment variables that will change over time. Passwords in analytics are also a bad idea in genteral.,https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules-emerging-threats/2014/TA/Turla/proc_creation_win_apt_turla_commands_critical.yml#L4
Turla PNG Dropper Service,1,U,N/a,,"This uses an event ID 7045 to detect a new service being created with the name of ""WerFaultSvc"". While it is an uncommon service name, it can be easily changed by an adversary.",https://github.com/SigmaHQ/sigma/blob/b02e3b698afbaae143ac4fb36236eb0b41122ed7/rules/windows/builtin/system/service_control_manager/win_system_apt_turla_service_png.yml 
Windows Binaries Write Suspicious Extensions,1,K,N/a,,Depends on the target file names that can easily be changed.,https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/file/file_event/file_event_win_shell_write_susp_files_extensions.yml 
New Outlook Macro Created,1,K,N/a,,Depends on the target file names that can easily be changed.,https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/file/file_event/file_event_win_office_outlook_macro_creation.yml 
Suspicious LNK Double Extension Files,1,K,1K,1K,Depends on the target file names that can easily be changed.,https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/file/file_event/file_event_win_susp_lnk_double_extension.yml 
Potential Persistence Via Outlook Form,3,K,N/a,,"To evade this analytic, an adversary would need to modify the storage location of these forms within Outlook which is modifying a native tool. Therefore, this is out of the adversary's control and is a level 3 analytic.",https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/file/file_event/file_event_win_office_outlook_newform.yml 
MSI Install from Suspicious Locations,1,A,,,"Analytic is dependent on where the files originate, an observable which can be changed easily.",https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/builtin/application/msiinstaller/win_msi_install_from_susp_locations.yml 
Windows Vuln CVE 2021_41379,1,A,N/a,,Looking for specific test package that could be changed easily.,https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/builtin/application/msiinstaller/win_vul_cve_2021_41379.yml 
File Creation Date Changed to Another Year,4,K,1K,1K,This analytic is looking for a small part of the timestomping subtechnique and will not detect all implementations. For filters boolean logic is flipped so even though fields in gen_filter_updates are ored the not condition makes it act as and.,https://github.com/SigmaHQ/sigma/blob/b02e3b698afbaae143ac4fb36236eb0b41122ed7/rules/windows/file/file_change/file_change_win_2022_timestomping.yml 
DirectorySearcher Powershell Exploitation,1,A,N/a,,ScriptBlockText searches are reletivily easy to evade with everyting being within adversary control.,https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/powershell/powershell_script/posh_ps_directorysearcher.yml 
