Name,Analytic,Score,Notes,Link
Mimikatz Execution,"logsource:
    category: process_creation
    product: windows
detection:
    selection_tools_name:
        CommandLine|contains:
            - 'DumpCreds'
            - 'mimikatz'
    selection_function_names: # To cover functions from modules that are not in module_names
        CommandLine|contains:
            - '::aadcookie' #misc module
            - '::detours' #misc module
            - '::memssp' #misc module
            - '::mflt' #misc module
            - '::ncroutemon' #misc module
            - '::ngcsign' #misc module
            - '::printnightmare' #misc module
            - '::skeleton' #misc module
            - '::preshutdown'  #service module
            - '::mstsc'  #ts module
            - '::multirdp'  #ts module
    selection_module_names:
        CommandLine|contains:
            - 'rpc::'
            - 'token::'
            - 'crypto::'
            - 'dpapi::'
            - 'sekurlsa::'
            - 'kerberos::'
            - 'lsadump::'
            - 'privilege::'
            - 'process::'
            - 'vault::'
    condition: 1 of selection_*",1,The specific moduels would be at level two. The first selection is just the name of the tool that can be changed on the comand line.,https://github.com/SigmaHQ/sigma/blob/master/rules/windows/process_creation/proc_creation_win_hktl_mimikatz_command_line.yml
Defrag Deactivation,"logsource:
    category: process_creation
    product: windows
detection:
    selection:
        Image|endswith: '\schtasks.exe'
        CommandLine|contains:
            - '/delete'
            - '/change'
        CommandLine|contains|all:
            - '/TN'
            - '\Microsoft\Windows\Defrag\ScheduledDefrag'
    condition: selection",3,these conditions are all based off of native tooling in windows.,https://github.com/SigmaHQ/sigma/blob/master/rules/windows/process_creation/proc_creation_win_apt_slingshot.yml
Turla Group Lateral Movement ,"logsource:
    category: process_creation
    product: windows
detection:
    selection:
        CommandLine:
            - 'net use \\\\%DomainController%\C$ ""P@ssw0rd"" *'
            - 'dir c:\\*.doc* /s'
            - 'dir %TEMP%\\*.exe'
    condition: selection",1,This is looking for very basic strings and enviroment variables that will change over time. Also don't put the password in the analytic that can change or it can increase your risk.,https://github.com/SigmaHQ/sigma/blob/master/rules/windows/process_creation/proc_creation_win_apt_turla_commands_critical.yml
CobaltStrike Named Pipe Patterns,"logsource:
    product: windows
    category: pipe_created
detection:
    selection_malleable_profiles:
        - PipeName|startswith:
            - '\mojo.5688.8052.183894939787088877'
            - '\mojo.5688.8052.35780273329370473'
            - '\mypipe-f'
            - '\mypipe-h'
            - '\ntsvcs'
            - '\scerpc'
            - '\win_svc'
            - '\spoolss'
            - '\msrpc_'
            - '\win\msrpc_'
            - '\wkssvc'
            - '\f53f'
            - '\windows.update.manager'
            - '\SearchTextHarvester'
            - '\DserNamePipe'
            - '\PGMessagePipe'
            - '\MsFteWds'
            - '\f4c3'
            - '\fullduplex_'
            - '\rpc_'
        - PipeName:
            - '\demoagent_11'
            - '\demoagent_22'
    selection_malleable_profile_CatalogChangeListener:
        PipeName|startswith: '\Winsock2\CatalogChangeListener-'
        PipeName|endswith: '-0,'
    filter:
        PipeName:
            - '\wkssvc'
            - '\spoolss'
            - '\scerpc'
            - '\ntsvcs'
            - '\SearchTextHarvester'
            - '\PGMessagePipe'
            - '\MsFteWds'
    condition: 1 of selection_malleable_profile* and not filter",1,This is all just PipeNames that can be changed like enviroment variables. ,https://github.com/SigmaHQ/sigma/blob/master/rules/windows/pipe_created/pipe_created_susp_cobaltstrike_pipe_patterns.yml
Persistence,"process where host.os.type == ""windows"" and event.type == ""start"" and
  process.parent.executable : ""C:\\Windows\\System32\\svchost.exe"" and
  process.parent.args : ""UsoSvc""",4,This is looking for the windows API that starts the process and checks the arguments. Because they are ANDed together it follows the higher of the elements.,https://github.com/elastic/detection-rules/blob/411ec36ff0171d6eaa3b9cc53478585b856253dd/rules/windows/persistence_via_update_orchestrator_service_hijack.toml
Detect Credential Dumping through LSASS access,`sysmon` EventCode=10 TargetImage=*lsass.exe (GrantedAccess=0x1010 OR GrantedAccess=0x1410),TBD,GrantedAccess is still under investigation as to where we will score this. More on this to come.,https://github.com/splunk/security_content/blob/develop/detections/endpoint/detect_credential_dumping_through_lsass_access.yml
Create Remote Thread into LSASS,`sysmon` EventID=8 TargetImage=*lsass.exe,5,Sysmon eventID 8 is hooking directly int the CreateRemoteThread API call.,https://github.com/splunk/security_content/blob/develop/detections/endpoint/create_remote_thread_into_lsass.yml
Data Exfiltration to Unsanctioned Apps,"logsource:
    service: threat_management
    product: m365
detection:
    selection:
        eventSource: SecurityComplianceCenter
        eventName: 'Data exfiltration to unsanctioned apps'
        status: success
    condition: selection",Out of Scope,This is basicly only relying on the quality of the data source triggering a log of this type.,https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/m365/microsoft365_data_exfiltration_to_unsanctioned_app.yml
Microsoft 365 - Impossible Travel Activity,"logsource:
    service: threat_management
    product: m365
detection:
    selection:
        eventSource: SecurityComplianceCenter
        eventName: 'Impossible travel activity'
        status: success",Out of Scope,This is basicly only relying on the quality of the data source triggering a log of this type.,https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/m365/microsoft365_impossible_travel_activity.yml
Disable Or Stop Services,"logsource:
    category: process_creation
    product: linux
detection:
    selection:
        Image|endswith:
            - '/service'
            - '/systemctl'
            - '/chkconfig'
        CommandLine|contains:
            - 'stop'
            - 'disable'
    condition: selection",3,This is using native linux tools and their command line arguments.,https://github.com/SigmaHQ/sigma/blob/master/rules/linux/process_creation/proc_creation_lnx_services_stop_and_disable.yml
