Name,Score,Notes,Permalink
Mimikatz Execution,1,The specific modules would be at level two. The first selection is the name of the tool which can be changed easily on the command line.,https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/process_creation/proc_creation_win_hktl_mimikatz_command_line.yml
Turla Group Lateral Movement ,1,This analytic is looking for basic strings and environment variables that will change over time.,https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules-emerging-threats/2014/TA/Turla/proc_creation_win_apt_turla_commands_critical.yml#L4
CobaltStrike Named Pipe Patterns,1,This analytic is looking for pipenames which can be changed like environment variables.,https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/pipe_created/pipe_created_susp_cobaltstrike_pipe_patterns.yml
Turla PNG Dropper Service,1,"This uses an event ID 7045 to detect a new service being created with the name of ""WerFaultSvc"". While it is an uncommon service name, it can be easily changed by an adversary.",https://github.com/SigmaHQ/sigma/blob/b02e3b698afbaae143ac4fb36236eb0b41122ed7/rules/windows/builtin/system/service_control_manager/win_system_apt_turla_service_png.yml
Windows Binaries Write Suspicious Extensions,1,Depends on the target file name.,https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/file/file_event/file_event_win_shell_write_susp_files_extensions.yml
New Outlook Macro Created,1,Depends on the target file name.,https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/file/file_event/file_event_win_office_outlook_macro_creation.yml
Suspicious LNK Double Extension Files,1,Depends on the target file name.,https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/file/file_event/file_event_win_susp_lnk_double_extension.yml
Potential Persistence Via Outlook Form,3,"To evade this analytic, an adversary would need to modify the storage location of these forms within Outlook which is modifying a native tool. Therefore, this is out of the adversary's control and is a level 3 analytic.",https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/file/file_event/file_event_win_office_outlook_newform.yml
MSI Install from Suspicious Locations,1,"Analytic is dependent on where the files originate, an observable which can be changed easily.",https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/builtin/application/msiinstaller/win_msi_install_from_susp_locations.yml
Windows Vuln CVE 2021_41379,1,Looking for specific test package,https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/builtin/application/msiinstaller/win_vul_cve_2021_41379.yml
File Creation Date Changed to Another Year,1,"Focused on specific time intervals and dates rather than the actual change behavior. Both selections act like filters to increase precision, they do not increase robustness. ",https://github.com/SigmaHQ/sigma/blob/b02e3b698afbaae143ac4fb36236eb0b41122ed7/rules/windows/file/file_change/file_change_win_2022_timestomping.yml
Diagnostic Library Sdiageng.DLL Loaded By Msdt.EXE,1,An adversary could evade this analytic by renaming both observables used.,https://github.com/SigmaHQ/sigma/blob/b02e3b698afbaae143ac4fb36236eb0b41122ed7/rules/windows/image_load/image_load_dll_sdiageng_load_by_msdt.yml
DirectorySearcher Powershell Exploitation,1,An adversary could obfuscate strings in the powershell script.,https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/powershell/powershell_script/posh_ps_directorysearcher.yml
Enumerate Credentials from Windows Credential Manager With PowerShell,1,"The contains all statement includes an exact string that could be evaded with simple name changes. While the /listcreds commandline flag might score at a level 3 by itself, an adversary could obfuscate the string in their powershell script to evade the analytic.",https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/powershell/powershell_script/posh_ps_enumerate_password_windows_credential_manager.yml
Suspicious Service DACL Modification Via Set-Service Cmdlet - PS,1,"This is looking for the services name being changed in order to be more stealthy. However, these names are not unique and are simply what was used in the example used to create the analytic, they can be changed very easily.",https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/powershell/powershell_script/posh_ps_susp_service_dacl_modification_set_service.yml
Moriya Rootkit File Created,1,The analytic is dependent on the target filename.,https://github.com/SigmaHQ/sigma/blob/e0a2d526715fc1574f2b2a10d2e4ffb7549d3891/rules-emerging-threats/2021/Malware/Moriya-Rootkit/file_event_win_moriya_rootkit.yml#L1
Suspicious Chromium Browser Instance Executed with Custom Extensions,1,Analytic is dependent on parent image name.,https://github.com/SigmaHQ/sigma/blob/b02e3b698afbaae143ac4fb36236eb0b41122ed7/rules/windows/process_creation/proc_creation_win_browsers_chromium_susp_load_extension.yml
ISO File Created Within Temp Folders,1,Both selections in the analytic are dependent on a file path which can be changed to evade the analytic.,https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/file/file_event/file_event_win_iso_file_mount.yml
Legitimate Application Dropped Archive,1,"Analytic looking for Image name and file extension, both of which are observables that can be easily changed. If the program creating the ZIP file isn't explicitly named in the analytic, it won't fire.",https://github.com/SigmaHQ/sigma/blob/b02e3b698afbaae143ac4fb36236eb0b41122ed7/rules/windows/file/file_event/file_event_win_legitimate_app_dropping_archive.yml
Vulnerable Driver Load,1,Hashes are operational variables that an adversary change fairly easily in most cases. See the Improved Analytic section for more detailed analysis.,https://github.com/magicsword-io/LOLDrivers/blob/cb4d65e77f3828c8d07df70522cae638c6aa5f93/detections/sigma/driver_load_win_vuln_drivers.yml
BloodHound Collection Files,1,Looks for file names that are in adversary control.,https://github.com/SigmaHQ/sigma/blob/3d172914f6c2bd5c2b5ed471bf0657a662d395af/rules/windows/file/file_event/file_event_win_bloodhound_collection.yml
HackTool - Mimikatz Execution,2,Analytic is looking for commandline arguments which are still within the adversaries control.,https://github.com/SigmaHQ/sigma/blob/3d172914f6c2bd5c2b5ed471bf0657a662d395af/rules/windows/process_creation/proc_creation_win_hktl_mimikatz_command_line.yml
Suspicious AdFind Execution,1,Analytic depends on the adfind.exe tool name.,https://github.com/SigmaHQ/sigma/blob/30bee7204cc1b98a47635ed8e52f44fdf776c602/rules/windows/process_creation/win_susp_adfind.yml
Suspicious PFX File Creation,1,File events restricted by targetfilenames,https://github.com/SigmaHQ/sigma/blob/30bee7204cc1b98a47635ed8e52f44fdf776c602/rules/windows/file_event/sysmon_susp_pfx_file_creation.yml
New RUN Key Pointing to Suspicious Folder,1,Adversaries could bring their own filenames or change the name of the application,https://github.com/SigmaHQ/sigma/blob/30bee7204cc1b98a47635ed8e52f44fdf776c602/rules/windows/registry_event/sysmon_susp_run_key_img_folder.yml
Mimikatz Use,2,OR search that looks for values in the Keywords field. Most values are commandline flags for respective tools module which are in the adversary's control.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/builtin/win_alert_mimikatz_keywords.yml
Data Compressed - PowerShell,2,This would require changes to the script to evade but the adversary controls this action and script.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/powershell/powershell_script/posh_ps_data_compressed.yml
Dump Credentials from Windows Credential Manager With PowerShell,2,Individual selections are looking at powershell commands which are part of the script block and in the adversary's control.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/powershell/powershell_script/posh_ps_dump_password_windows_credential_manager.yml
Invoke-Obfuscation COMPRESS OBFUSCATION - PowerShell,2,This uses strings that could be within adversary control but not as simple as a file name to change. ,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/powershell/powershell_script/posh_ps_invoke_obfuscation_via_compress.yml
Clear PowerShell History - PowerShell,2,All of this is built-in powershell dependent.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/powershell/powershell_script/posh_ps_clear_powershell_history.yml
Suspicious PowerShell Download - Powershell Script,2,All observables  are dependent on  built-in powershell functionality.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/powershell/powershell_script/posh_ps_susp_download.yml
Suspicious Encoded Scripts in a WMI Consumer,2,This is looking for artifacts in a script within the adversary's control.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/wmi_event/sysmon_wmi_susp_encoded_scripts.yml
Suspicious Access To Browser Credential Files,3,This relies on the configurations of the browser which are likely out of adversary control.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/file/file_access/file_access_win_browser_credential_stealing.yml
Startup Folder File Write,3,This relies on a Windows default file location.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/file/file_event/file_event_win_startup_folder_file_write.yml
Service Registry Permissions Weakness Check,2,"This analytic is looking for the act of checking the permissions on a registry key. This check can be done  in many other ways, including ways that don't even involve PowerShell. See the Improved Analytic section for more info.",https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/powershell/powershell_script/posh_ps_get_acl_service.yml
Powershell File and Directory Discovery,2,These commands are all part of Powershell or Windows itself.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/powershell/powershell_script/posh_ps_file_and_directory_discovery.yml
WerFault LSASS Process Memory Dump,3,"The filenames are default for the WerFault program, while lsass is also default for the proper configuration (outside of adversary control)",https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/file/file_event/file_event_win_lsass_werfault_dump.yml
WMI Persistence - Script Event Consumer File Write,1,Analytic is looking for behind-the-scenes OS behavior of WMI script handling which is outside adversary control.,https://github.com/SigmaHQ/sigma/blob/30bee7204cc1b98a47635ed8e52f44fdf776c602/rules/windows/file_event/sysmon_wmi_persistence_script_event_consumer_write.yml
Persistence,3,This is based on native tools and their args.,https://github.com/elastic/detection-rules/blob/411ec36ff0171d6eaa3b9cc53478585b856253dd/rules/windows/persistence_via_update_orchestrator_service_hijack.toml
Direct Syscall of NtOpenProcess,2,"Process Access is generated at kernel-mode, but CallTrace is within adversary control.",https://github.com/SigmaHQ/sigma/blob/cda0fbff62ce7f818198701452f1e0820f257b62/rules/windows/process_access/proc_access_win_direct_syscall_ntopenprocess.yml
MSI install from the web,3,The eventIds will be higher but the '://' is part of how the MsiInstaller gets its data and is outside of control.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/builtin/application/msiinstaller/win_msi_install_from_web.yml
Possible Shadow Credentials Added,5,"WEL Event ID running at kernel-level and the LDAPDisplayName value is central to  implementing technique, making the analytic difficult to evade.",https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/builtin/security/win_security_susp_possible_shadow_credentials_added.yml
Windows Defender Threat Detected,5,Windows Defend Event IDs currently scored at OS API level (or higher). Can confirm with knowledge of if EventIDs are generated at user-mode or kernel-mode,https://github.com/SigmaHQ/sigma/blob/30bee7204cc1b98a47635ed8e52f44fdf776c602/rules/windows/other/win_defender_threat.yml 
AADInternals PowerShell Cmdlets Execution - PsScript,2,Cmdlets could be renamed by an adversary.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/powershell/powershell_script/posh_ps_aadinternals_cmdlets_execution.yml
Suspicious Remote Thread Source,3,Create_remote_thread is Sysmon event 8. Most tools are native tools. ,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/create_remote_thread/create_remote_thread_win_uncommon_source_image.yml
Potential WinAPI Calls Via PowerShell Scripts,2,This is detecting the calling of OS API functions,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/powershell/powershell_script/posh_ps_accessing_win_api.yml
Windows Defender Malware Detection History Deletion,5,"Because there is an event ID for the behavior, this is considered a very robust technique. Need confirmation the event code is fired from the OS API level or higher",https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/builtin/windefend/win_defender_history_delete.yml
Backup Catalog Deleted,5,Microsoft documentation suggests that this is an OS-level application so it'd be a 5 at least.,https://github.com/SigmaHQ/sigma/blob/c04bef2fbbe8beff6c7620d5d7ea6872dbe7acba/rules/windows/builtin/application/microsoft_windows_backup/win_susp_backup_delete.yml
Eventlog Cleared,5,The eventID 104 is for 'The %3 log file was cleared' And when the provider name is that of the event log it would have been cleared. This looks to be dependent on the OS file locations. ,https://github.com/SigmaHQ/sigma/blob/46eacc3da3e2611b64a07b89618ea051da7662f2/rules/windows/builtin/system/microsoft_windows_eventlog/win_system_eventlog_cleared.yml
WMI Persistence,5,Changes to WMI subscriptions are well covered by a number of EventIDs and this takes advantage of that leading to a very difficult to evade analytic..,https://github.com/SigmaHQ/sigma/blob/46eacc3da3e2611b64a07b89618ea051da7662f2/rules/windows/builtin/wmi/win_wmi_persistence.yml
Detect Credential Dumping through LSASS access,7,This analytic appears to cover all implementations of the subtechnique according to SpecterOps capability abstraction of Dumping LSASS. Process Access uses kernel-level APIs.,https://github.com/splunk/security_content/blob/f76250c9eda0a12572b969cf478f9c19214be40c/detections/endpoint/detect_credential_dumping_through_lsass_access.yml
