Name,Score (Level),Score (Sensor),Notes,Permalink
Turla Group Lateral Movement ,1,K,This is looking for basic strings and enviroment variables that will change over time. Passwords in analytics are also a bad idea in genteral.,https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules-emerging-threats/2014/TA/Turla/proc_creation_win_apt_turla_commands_critical.yml#L4
Turla PNG Dropper Service,1,U,"This uses an event ID 7045 to detect a new service being created with the name of ""WerFaultSvc"". While it is an uncommon service name, it can be easily changed by an adversary.",https://github.com/SigmaHQ/sigma/blob/b02e3b698afbaae143ac4fb36236eb0b41122ed7/rules/windows/builtin/system/service_control_manager/win_system_apt_turla_service_png.yml
Windows Binaries Write Suspicious Extensions,1,K,Depends on the target file names that can easily be changed.,https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/file/file_event/file_event_win_shell_write_susp_files_extensions.yml
New Outlook Macro Created,1,K,Depends on the target file names that can easily be changed.,https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/file/file_event/file_event_win_office_outlook_macro_creation.yml
Suspicious LNK Double Extension Files,1,K,Depends on the target file names that can easily be changed.,https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/file/file_event/file_event_win_susp_lnk_double_extension.yml
Potential Persistence Via Outlook Form,3,K,"To evade this analytic, an adversary would need to modify the storage location of these forms within Outlook which is modifying a native tool. Therefore, this is out of the adversary's control and is a level 3 analytic.",https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/file/file_event/file_event_win_office_outlook_newform.yml
MSI Install from Suspicious Locations,1,A,"Analytic is dependent on where the files originate, an observable which can be changed easily.",https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/builtin/application/msiinstaller/win_msi_install_from_susp_locations.yml
Windows Vuln CVE 2021_41379,1,A,Looking for specific test package that could be changed easily.,https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/builtin/application/msiinstaller/win_vul_cve_2021_41379.yml
File Creation Date Changed to Another Year,4,K,This analytic is looking for a small part of the timestomping subtechnique and will not detect all implementations.,https://github.com/SigmaHQ/sigma/blob/b02e3b698afbaae143ac4fb36236eb0b41122ed7/rules/windows/file/file_change/file_change_win_2022_timestomping.yml
DirectorySearcher Powershell Exploitation,1,A,ScriptBlockText searches are reletivily easy to evade with everyting being within adversary control.,https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/powershell/powershell_script/posh_ps_directorysearcher.yml
Enumerate Credentials from Windows Credential Manager With PowerShell,2,A,ScriptBlockText searches are reletivily easy to evade with everyting being within adversary control.,https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/powershell/powershell_script/posh_ps_enumerate_password_windows_credential_manager.yml
Suspicious Service DACL Modification Via Set-Service Cmdlet - PS,1,A,"This is looking for the services name being changed in order to be more stealthy. However, these names are not unique and are simply what was used in the example used to create the analytic, they can be changed very easily.",https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/powershell/powershell_script/posh_ps_susp_service_dacl_modification_set_service.yml
Moriya Rootkit File Created,1,K,Looking at the target file name of the malware. ,https://github.com/SigmaHQ/sigma/blob/e0a2d526715fc1574f2b2a10d2e4ffb7549d3891/rules-emerging-threats/2021/Malware/Moriya-Rootkit/file_event_win_moriya_rootkit.yml#L1
Suspicious Chromium Browser Instance Executed with Custom Extensions,1,K,Dependent on the parent file name which can be changed easily.,https://github.com/SigmaHQ/sigma/blob/b02e3b698afbaae143ac4fb36236eb0b41122ed7/rules/windows/process_creation/proc_creation_win_browsers_chromium_susp_load_extension.yml
ISO File Created Within Temp Folders,1,K,Both selections in the analytic are dependent on a file path which can be changed to evade the analytic.,https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/file/file_event/file_event_win_iso_file_mount.yml
Legitimate Application Dropped Archive,1,K,"Analytic looking for Image name and file extension, both of which are observables that can be easily changed. If the program creating the ZIP file isn't explicitly named in the analytic, it won't fire.",https://github.com/SigmaHQ/sigma/blob/b02e3b698afbaae143ac4fb36236eb0b41122ed7/rules/windows/file/file_event/file_event_win_legitimate_app_dropping_archive.yml
Vulnerable Driver Load,1,K,This is looking for only a list of hashs witch is one of the easiest observabals for an adversary to change.,https://github.com/magicsword-io/LOLDrivers/blob/cb4d65e77f3828c8d07df70522cae638c6aa5f93/detections/sigma/driver_load_win_vuln_drivers.yml
BloodHound Collection Files,1,K,Looks for file names that are in adversary contol.,https://github.com/SigmaHQ/sigma/blob/3d172914f6c2bd5c2b5ed471bf0657a662d395af/rules/windows/file/file_event/file_event_win_bloodhound_collection.yml
Suspicious AdFind Execution,1,K,Analytic depends on the name of the tool.,https://github.com/SigmaHQ/sigma/blob/30bee7204cc1b98a47635ed8e52f44fdf776c602/rules/windows/process_creation/win_susp_adfind.yml
Suspicious PFX File Creation,1,K,File events is looking at the target file name.,https://github.com/SigmaHQ/sigma/blob/30bee7204cc1b98a47635ed8e52f44fdf776c602/rules/windows/file_event/sysmon_susp_pfx_file_creation.yml
New RUN Key Pointing to Suspicious Folder,1,K,"Analytic depends on the file name and path, both easily changed.",https://github.com/SigmaHQ/sigma/blob/30bee7204cc1b98a47635ed8e52f44fdf776c602/rules/windows/registry_event/sysmon_susp_run_key_img_folder.yml
Mimikatz Use,2,U,OR search that looks for values in the Keywords field. Most values are commandline flags for respective tools module which are in the adversary's control.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/builtin/win_alert_mimikatz_keywords.yml
Data Compressed - PowerShell,2,A,ScriptBlockText searches are reletivily easy to evade with everyting being within adversary control but reqires a change of the script.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/powershell/powershell_script/posh_ps_data_compressed.yml
Dump Credentials from Windows Credential Manager With PowerShell,2,A,ScriptBlockText searches are reletivily easy to evade with everyting being within adversary control but reqires a change of the script.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/powershell/powershell_script/posh_ps_dump_password_windows_credential_manager.yml
Invoke-Obfuscation COMPRESS OBFUSCATION - PowerShell,2,A,ScriptBlockText searches are reletivily easy to evade with everyting being within adversary control but reqires a change of the script.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/powershell/powershell_script/posh_ps_invoke_obfuscation_via_compress.yml
Clear PowerShell History - PowerShell,2,A,ScriptBlockText searches are reletivily easy to evade with everyting being within adversary control but reqires a change of the script.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/powershell/powershell_script/posh_ps_clear_powershell_history.yml
