Log Source ,Fidelity ,Noise ,Timeliness ,Coverage ,Context ,Robustness ,Total 
EDR Logs (Authentication with NTLM/Pass-the-Hash) ,4 ,5 ,5 ,2.5 ,4.8 ,4.8 ,26.1 
EDR Logs (Process Execution) ,4 ,3 ,5 ,4.8 ,4.6 ,4.5 ,25.9 
Sysmon Event 1 (Process Create) ,4 ,2 ,5 ,4.8 ,4.4 ,4.3 ,24.5 
Sysmon Event 3 (Network Connection) ,4 ,3 ,5 ,4.5 ,3.5 ,3.5 ,23.5 
Windows Security 4688 (Process Creation) ,3 ,2 ,5 ,4.8 ,4.1 ,4.1 ,23.0 
Windows Security 5985 (WinRM Remote Management) ,3 ,4 ,5 ,2.2 ,4.2 ,4.5 ,22.9 
Windows Security 7045 (Service Installation) ,3 ,4 ,5 ,2.2 ,4.2 ,4.5 ,22.9 
Windows Security 4648 (Explicit Credentials Logon) ,3 ,4 ,5 ,3.0 ,3.8 ,4.0 ,22.8 
"IDS/IPS Logs (SMB, FTP, HTTP Exploitation) ",3 ,4 ,5 ,3.5 ,3.8 ,3.9 ,22.2 
Windows Security 4674 (Sensitive Privilege Use) ,3 ,4 ,5 ,2.2 ,3.5 ,4.2 ,21.9 
Web Proxy Logs (Unusual Connections) ,4 ,3 ,4 ,3.0 ,4.0 ,3.8 ,21.8 
Packet Capture: SMB Port 445 Monitoring ,4 ,1 ,5 ,4.0 ,3.8 ,3.5 ,21.3 
Packet Capture: RDP Port 3389 Monitoring ,4 ,1 ,5 ,4.0 ,3.8 ,3.5 ,21.3 
Packet Capture: SSH Port 22 Analysis ,4 ,1 ,5 ,4.0 ,3.8 ,3.5 ,21.3 
Windows Security 4624 (Successful Logon) ,3 ,2 ,5 ,4.2 ,3.4 ,3.5 ,21.1 
Windows Security 1149 (RDP Logon Activity) ,3 ,2 ,5 ,4.2 ,3.4 ,3.5 ,21.1 
AWS CloudTrail (Sign-in Attempts) ,3 ,3 ,4 ,3.2 ,3.9 ,4.0 ,21.1 
AWS CloudTrail (Access to S3 Buckets) ,3 ,3 ,4 ,3.2 ,3.9 ,4.0 ,21.1 
"GCP Audit Logs (IAM, SSH Access) ",3 ,3 ,4 ,3.2 ,3.9 ,4.0 ,21.1 
Azure AD Sign-In Logs ,3 ,3 ,4 ,3.2 ,3.9 ,4.0 ,21.1 
Azure Activity Logs (Service/Resource Creation) ,3 ,3 ,4 ,3.2 ,3.9 ,4.0 ,21.1 
Windows Authentication Logs: 4768 (Kerberos TGT) ,3 ,3 ,5 ,2.0 ,3.5 ,3.6 ,20.1 
Windows Authentication Logs: 4771 (Pre-authentication Failed) ,3 ,3 ,5 ,2.0 ,3.5 ,3.6 ,20.1 
Sysmon Event 11 (File Create/File Stream Hash) ,3 ,2 ,5 ,3.0 ,3.4 ,3.6 ,20.0 
EDR Logs (File Creation in Admin Shares) ,3 ,2 ,5 ,3.0 ,3.4 ,3.6 ,20.0 
Windows Security 5140 (SMB Share Access) ,3 ,1 ,5 ,4.0 ,3.0 ,3.2 ,19.2 
Windows Security 5145 (Access to Shared File) ,3 ,1 ,5 ,4.0 ,3.0 ,3.2 ,19.2 
Firewall Logs (Unusual Traffic Patterns) ,2 ,3 ,4 ,4.0 ,2.5 ,3.0 ,18.5 
VPN Logs (RADIUS Accounting) ,2 ,3 ,4 ,2.0 ,3.0 ,3.1 ,17.1 
NetFlow/IPFIX Telemetry ,2 ,2 ,4 ,4.0 ,2.2 ,2.5 ,16.7 
