Log Source ,Fidelity ,Noise ,Timeliness ,Coverage ,Context ,Robustness ,Total 
EDR: Suspicious Child Process ,4 ,4 ,5 ,5.0 ,4.8 ,4.6 ,27.4 
Secure Email Gateway (SEG) Alerts ,4 ,5 ,5 ,2.5 ,4.9 ,4.5 ,25.9 
EDR: Telemetry ,4 ,3 ,5 ,5.0 ,4.5 ,4.4 ,25.9 
"EDR: API Calls (Downloads, Process Injection) ",4 ,3 ,5 ,3.5 ,4.7 ,4.6 ,24.8 
Sysmon: EID 1: Process Create ,4 ,2 ,5 ,5.0 ,4.4 ,4.3 ,24.7 
Windows Defender: AV Detections ,4 ,5 ,5 ,3.0 ,4.9 ,2.5 ,24.4 
Windows Security: EID 4688: Process Creation ,3 ,2 ,5 ,5.0 ,4.1 ,4.1 ,23.2 
Sysmon: Digital Signature Validation Status ,4 ,3 ,5 ,1.5 ,4.5 ,4.8 ,22.8 
Zeek/Bro: http.log / files.log ,4 ,3 ,5 ,2.0 ,4.6 ,4.2 ,22.8 
Web Proxy / TLS Inspection Logs ,4 ,3 ,4 ,2.0 ,4.5 ,4.0 ,21.5 
EDR: File Creation (Downloads/Attachments) ,3 ,2 ,5 ,4.0 ,3.8 ,3.6 ,21.4 
Sysmon: EID 3: Network Connection ,4 ,3 ,5 ,2.0 ,3.6 ,3.8 ,21.4 
Sysmon: EID 11: FileCreate ,3 ,2 ,5 ,4.0 ,3.8 ,3.6 ,21.4 
DNS Query Logs (Server) ,3 ,2 ,4 ,2.0 ,3.6 ,3.7 ,18.3 
"Email Server Logs (Exchange, M365) ",2 ,2 ,4 ,2.5 ,3.5 ,3.5 ,17.5 
